modelo,preço,loja,marca
"Smartphone Samsung Galaxy A06 128GB 4GB RAM Tela 6,7"" Câmera Traseira 50+2MP Frontal 8MP Verde Claro",749.0,americanas,samsung
"Smartphone Samsung Galaxy A56 5G 128GB Preto 8GB RAM Câmera 50MP IP67 Tela Super AMOLED 6.7"" Recursos AI",2198.0,americanas,samsung
"Smartphone Samsung Galaxy S24 FE 5G 128GB 8GB RAM Tela 6.7"" Galaxy AI Grafite",2899.0,americanas,samsung
"Smartphone Motorola Moto G04s 4G 128GB 8GB RAM Boost Tela 6.6"" Câmera AI 50MP + Selfie 5MP - Coral",749.0,americanas,motorola
Celular Positivo P41 4G 2.4” Dual SIM Rádio FM - Preto,199.0,americanas,positivo
"Smartphone Samsung Galaxy A36 5G 128GB 6GB RAM Câmera 50MP IP67 Tela Super AMOLED 6.7"" Recursos AI",1899.0,americanas,samsung
"Smartphone Infinix Smart 8 Pro 256GB Tela 6.6"" 4GB RAM Câmera Dupla 50MP - Dourado/Preto",899.0,americanas,infinix
"Smartphone Samsung Galaxy A36 5G 256GB 6GB RAM Câmera 50MP IP67 Tela Super AMOLED 6.7"" Recursos AI",2099.0,americanas,samsung
"Smartphone Samsung Galaxy A56 5G 256GB Preto 8GB RAM Câmera 50MP IP67 Tela Super AMOLED 6.7"" Recursos AI",2799.0,americanas,samsung
"Smartphone Motorola Edge 50 Fusion 5G 256GB 16GB RAMBOOST Tela 6.7"" 120Hz Câmera 50MP + Selfie 32MP - Light Blue",2299.0,americanas,motorola
"Smartphone Motorola Edge 50 Neo 5G 256GB 16GB Ram Boost Tela 6,4” 50MP Sony Câmera Moto AI IP68 NFC Latte",2499.0,americanas,motorola
Celular Multi Up 4G P9139 Preto,199.0,americanas,marcas menores
"Smartphone Motorola Egde 50 Fusion 5G 256GB 16GB RAMBoost Tela 6.7"" 120Hz Câmera 50MP + Selfie 32MP - Blue Teal",2299.0,americanas,motorola
"Celular Samsung Galaxy M35 5G, Câmera Tripla até 50MP, Selfie 50MP, Tela Super amoled + 6.6 120Hz, 256GB, 8GB ram",2699.0,americanas,samsung
"Smartphone Xiaomi Redmi Note 13 4G 256GB 8GB de RAM Tela 6,67"" Câmera Traseira Tripla 108MP + 8MP + 2MP- Preto",1999.0,americanas,xiaomi
Smartphone Xiaomi Redmi Note 13 Pro 256GB / 8GBram,2999.0,americanas,xiaomi
Smartphone Xiaomi Redmi Note 14 256GB 8GB RAM Dual SIM Tela 6.67,1689.0,americanas,xiaomi
Smartphone Xiaomi Poco X7 5G 256GB 8GB RAM Virtual Dual SIM Tela 6.67,2259.0,americanas,xiaomi
"Smartphone Infinix Smart 8 Pro 256GB 4GB RAM Câmera Dupla 50MP Tela Magic Ring 6.6"" 90Hz Preto Smartphone Infinix Smart 8 Pro 256GB 4GB RAM Câmera Dupla 50MP Tela Magic Ring, 6.6"" 90Hz Preto",899.0,americanas,infinix
Smartphone Xiaomi Poco X7 5G 256GB 8GB RAM Virtual Dual SIM Tela 6.67,2159.0,americanas,xiaomi
Smartphone Motorola Edge 60 Fusion 5G 256GB 8GB RAM Super HD Câmera Sony 50MP Moto AI IP68 NFC Cinza,2499.0,americanas,motorola
Smartphone Xiaomi Poco X7 5G 512GB 12GB RAM Virtual Dual SIM Tela 6.67,2599.0,americanas,xiaomi
Smartphone Xiaomi Poco X6 Pro 5G 512GB - 12GB Ram,3999.0,americanas,xiaomi
Celular Smartphone Poco X7 Pro 5G 512GB 12GB RAM Dual SIM Tela 6.67,3099.0,americanas,marcas menores
"Smartphone Motorola Edge 50 5G - Green, 256GB, 24GB ram Boost, Câmera Dupla 50 mp Sony, Selfie 32MP e Tela de 6.7",3999.0,americanas,motorola
Smartphone Xiaomi Poco X7 5G 256GB 8GB RAM Virtual Dual SIM Tela 6.67,2159.0,americanas,xiaomi
Smartphone Motorola Moto G05 50 mp 128 gb 4G XT2523-2,1277.0,americanas,motorola
"Smartphone Motorola Moto G15 256GB - Verde, 12GB Ram Boost, Câmera 50MP, Selfie 8MP e Tela 6,7",1690.0,americanas,motorola
"Smartphone Motorola Razr 50 Ultra 5G - Mocha Mousse, 512GB, 24GB ram Boost, Câmera 50 mp, Selfie 32 mp e Tela de 6,9",7999.0,americanas,motorola
Smartphone Navcity NP-752 Branco - Android 11 e Dual Chip,999.0,americanas,marcas menores
Smartphone Motorola Moto G15 50 mp + 5 mp 256 gb 5G XT2521-2,1626.0,americanas,motorola
Smartphone Realme C67 256gb 8gb Ram Global Nfc Cam 108mp Verde,1475.0,americanas,realme
