modelo,preço,loja
"Smartphone Motorola Edge 50 Neo 5G - Poinciana, 256GB, 16GB (8GB ram + 8GB ram Boost), Câmera 50MP e Tela de 6,4","R$ 3.499,00",americanas
"Smartphone Motorola Edge 50 Fusion 5G - Blue Teal, 256GB, 16GB ram Boost, Câmera Dupla 50MP + 13MP, Selfie 32MP e Tela de 6,7","R$ 3.179,00",americanas
Celular Smartphone Poco X7 Pro 5G 512GB 12GB RAM Dual SIM Tela 6.67,"R$ 3.159,00",americanas
Smartphone Samsung Galaxy A06 128GB 4G Tela 6.7 Câmera Dupla 50MP Selfie 8MP Dual Chip Android 14,"R$ 807,50",americanas
Smartphone Xiaomi Redmi A3 128GB 4GB RAM Dual SIM Tela 6.71,"R$ 795,00",americanas
"Smartphone Motorola Moto G15 256GB - Grafite, 12GB Ram Boost, Câmera 50MP, Selfie 8MP e Tela 6,7","R$ 1.690,00",americanas
"Smartphone Infinix Hot 30I 128GB 8GB RAM Câmera Dupla 50MP Tela 6,6"" DH Dual Chip - Preto","R$ 849,00",americanas
Smartphone Motorola Moto G05 50 mp 128 gb 4G XT2523-2,"R$ 1.160,86",americanas
"Smartphone asus rog Phone 8 Pro 512GB 5G Snapdragon 8 Gen 3 16GB Ram Tela 6,78 amoled 165Hz Câm Tripla 50MP + 32MP - Phantom Black","R$ 9.999,00",americanas
Smartphone Motorola Moto G35 5G 256GB 12GB Ram Boost e Camera 50MP com ai nfc Tela 6.7 com Superbrilho,"R$ 1.279,50",americanas
Smartphone Motorola Moto G20 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 13MP - Grafite,"R$ 1.599,00",americanas
Smartphone Moto G15 256GB Verde Vegan Leather Tela 6.7 Câmera Dupla 50MP Selfie 8MP Dual Chip Android 15 Motorola,"R$ 1.019,20",americanas
"Smartphone Motorola Moto G35 5G 256GB - Cinza, 12GB ram Boost, Câmera 50 mp + Selfie 16MP e Tela 6,7, Android 14","R$ 1.499,00",americanas
"Celular Positivo P26 32 mb Dual Chip Tela 1,8 Câmera vga Bluetooth Rádio fm Preto","R$ 199,90",americanas
Celular Realme Note 50 Dual Sim 64 Gb 3 Gb Ram Smartphone,"R$ 1.091,80",americanas
Smartphone tcl 40 se 256GB Grafite,"R$ 732,22",americanas
Smartphone Galaxy A16 128GB Samsung,"R$ 1.208,50",americanas
Smartphone Xiaomi Redmi 14C 128gb - 4gb ram - Azul,"R$ 1.099,00",americanas
Smartphone Motorola Moto G75 5G 256GB 16GB Ram Boost 50MP Sony Camera Moto ai Ultrarresistencia Militar,"R$ 1.955,00",americanas
Smartphone Moto G15 256GB Grafite Vegan Leather Tela 6.7 Câmera Dupla 50MP Selfie 8MP Dual Chip Android 15 Motorola,"R$ 1.086,90",americanas
Smartphone Motorola Moto G35 5G 128GB 12GB Ram Boost e Camera 50MP com ai nfc Tela 6.7 com Superbrilho,"R$ 1.209,50",americanas
Smartphone Samsung Galaxy A03 Core 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera 8MP + Selfie 5MP - Preto,"R$ 549,00",americanas
Smartphone Xiaomi Redmi A3 128GB 4GB RAM Dual SIM Tela 6.71,"R$ 750,00",americanas
Smartphone Samsung Galaxy S20 FE 5G 128GB Snapdragon Tela 6.5'' Dual Chip 6GB RAM Câmera Tripla + Selfie 32MP - Branco,"R$ 2.797,70",americanas
Smartphone Motorola Moto G35 5G 128GB 12GB Ram Boost e Camera 50MP com ai nfc Tela 6.7 com Superbrilho,"R$ 1.209,50",americanas
Smartphone Motorola Moto G22 128GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 16MP - Verde,"R$ 992,56",americanas
Smartphone Xiaomi Redmi A3 128GB 4GB RAM Dual SIM Tela 6.71,"R$ 750,00",americanas
Celular Simples Para Idoso Positivo P26,"R$ 212,00",americanas
